ID,Book_Title,Original_Book_Title,Author_Name,Edition_Language,Rating_score,Rating_votes,Review_number,Book_Description,Year_published,Genres,url,
E99E434B,The Road,The Road,Cormac McCarthy,English,3.97,735303,46499,"A searing, postapocalyptic novel destined to become Cormac McCarthy’s masterpiece.A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind. It is cold enough to crack stones, and when the snow falls it is gray. The sky is dark. Their destination is the coast, although they don’t know what, if anything, awaits them there. They have nothing; just a pistol to defend themselves against the lawless bands that stalk the road, the clothes they are wearing, a cart of scavenged food—and each other.The Road is the profoundly moving story of a journey. It boldly imagines a future in which no hope remains, but in which the father and his son, “each the other’s world entire,” are sustained by love. Awesome in the totality of its vision, it is an unflinching meditation on the worst and the best that we are capable of: ultimate destructiveness, desperate tenacity, and the tenderness that keeps two people alive in the face of total devastation.",2006,"{'Fiction': 10320, 'Science Fiction': 2804, 'Science Fiction (Dystopia) ': 2324, 'Apocalyptic (Post Apocalyptic) ': 1996, 'Horror': 1320, 'Classics': 1297, 'Literature': 851, 'Novels': 778, 'Science Fiction (Apocalyptic) ': 593, 'Contemporary': 562}",https://www.goodreads.com/book/show/6288.The_Road,
379845A1,Station Eleven,Station Eleven,Emily St. John Mandel,English,4.05,339864,40282,"Set in the days of civilization's collapse, Station Eleven tells the story of a Hollywood star, his would-be savior, and a nomadic group of actors roaming the scattered outposts of the Great Lakes region, risking everything for art and humanity.One snowy night a famous Hollywood actor slumps over and dies onstage during a production of King Lear. Hours later, the world as we know it begins to dissolve. Moving back and forth in time—from the actor's early days as a film star to fifteen years in the future, when a theater troupe known as the Traveling Symphony roams the wasteland of what remains—this suspenseful, elegiac, spellbinding novel charts the strange twists of fate that connect five people: the actor, the man who tried to save him, the actor's first wife, his oldest friend, and a young actress with the Traveling Symphony, caught in the crosshairs of a dangerous self-proclaimed prophet.",2014,"{'Fiction': 6481, 'Science Fiction': 3572, 'Science Fiction (Dystopia) ': 2459, 'Apocalyptic (Post Apocalyptic) ': 1533, 'Adult': 818, 'Audiobook': 761, 'Fantasy': 672, 'Adult Fiction': 560, 'Science Fiction (Apocalyptic) ': 531, 'Literary Fiction': 527}",https://www.goodreads.com/book/show/20170404-station-eleven,
1C995E18,The Stand,The Stand,Stephen King,English,4.34,633906,21677,This is the way the world ends: with a nanosecond of computer error in a Defense Department laboratory and a million casual contacts that form the links in a chain letter of death. And here is the bleak new world of the day after: a world stripped of its institutions and emptied of 99 percent of its people. A world in which a handful of panicky survivors choose sides -- or are chosen.,1978,"{'Horror': 8946, 'Fiction': 5609, 'Fantasy': 2628, 'Science Fiction': 1628, 'Apocalyptic (Post Apocalyptic) ': 1199, 'Thriller': 1043, 'Science Fiction (Dystopia) ': 890, 'Science Fiction (Apocalyptic) ': 501, 'Audiobook': 437, 'Classics': 414}",https://www.goodreads.com/book/show/149267.The_Stand,
BEE8EBA0,World War Z: An Oral History of the Zombie War,World War Z: An Oral History of the Zombie War,Max Brooks,English,4.01,452598,25951,"The Zombie War came unthinkably close to eradicating humanity. Max Brooks, driven by the urgency of preserving the acid-etched first-hand experiences of the survivors from those apocalyptic years, traveled across the United States of America and throughout the world, from decimated cities that once teemed with upwards of thirty million souls to the most remote and inhospitable areas of the planet. He recorded the testimony of men, women, and sometimes children who came face-to-face with the living, or at least the undead, hell of that dreadful time. World War Z is the result. Never before have we had access to a document that so powerfully conveys the depth of fear and horror, and also the ineradicable spirit of resistance, that gripped human society through the plague years.Ranging from the now infamous village of New Dachang in the United Federation of China, where the epidemiological trail began with the twelve-year-old Patient Zero, to the unnamed northern forests where untold numbers sought a terrible and temporary refuge in the cold, to the United States of Southern Africa, where the Redeker Plan provided hope for humanity at an unspeakable price, to the west-of-the-Rockies redoubt where the North American tide finally started to turn, this invaluable chronicle reflects the full scope and duration of the Zombie War.Most of all, the book captures with haunting immediacy the human dimension of this epochal event. Facing the often raw and vivid nature of these personal accounts requires a degree of courage on the part of the reader, but the effort is invaluable because, as Mr. Brooks says in his introduction, ""By excluding the human factor, aren't we risking the kind of personal detachment from history that may, heaven forbid, lead us one day to repeat it? And in the end, isn't the human factor the only true difference between us and the enemy we now refer to as 'the living dead'?""Note: Some of the numerical and factual material contained in this edition was previously published under the auspices of the United Nations Postwar Commission.",2006,"{'Horror': 5829, 'Fiction': 4907, 'Horror (Zombies) ': 3174, 'Science Fiction': 2630, 'Fantasy': 1256, 'Apocalyptic (Post Apocalyptic) ': 1153, 'Science Fiction (Dystopia) ': 945, 'Audiobook': 618, 'Science Fiction (Apocalyptic) ': 485, 'War': 465}",https://www.goodreads.com/book/show/8908.World_War_Z,
0CC059BE,The Passage,The Passage,Justin Cronin,English,4.03,194650,19552,"IT HAPPENED FAST.THIRTY-TWO MINUTES FOR ONE WORLD TO DIE, ANOTHER TO BE BORN.First, the unthinkable: a security breach at a secret U.S. government facility unleashes the monstrous product of a chilling military experiment. Then, the unspeakable: a night of chaos and carnage gives way to sunrise on a nation, and ultimately a world, forever altered. All that remains for the stunned survivors is the long fight ahead and a future ruled by fear—of darkness, of death, of a fate far worse.As civilization swiftly crumbles into a primal landscape of predators and prey, two people flee in search of sanctuary. FBI agent Brad Wolgast is a good man haunted by what he's done in the line of duty. Six-year-old orphan Amy Harper Bellafonte is a refugee from the doomed scientific project that has triggered apocalypse. Wolgast is determined to protect her from the horror set loose by her captors, but for Amy, escaping the bloody fallout is only the beginning of a much longer odyssey—spanning miles and decades—toward the time an place where she must finish what should never have begun.With The Passage, award-winning author Justin Cronin has written both a relentlessly suspenseful adventure and an epic chronicle of human endurance in the face of unprecedented catastrophe and unimaginable danger. Its inventive storytelling, masterly prose, and depth of human insight mark it as a crucial and transcendent work of modern fiction.",2010,"{'Horror': 3239, 'Fiction': 2439, 'Science Fiction': 1735, 'Fantasy': 1448, 'Apocalyptic (Post Apocalyptic) ': 978, 'Paranormal (Vampires) ': 964, 'Science Fiction (Dystopia) ': 776, 'Thriller': 565, 'Science Fiction (Apocalyptic) ': 399, 'Fantasy (Paranormal) ': 357}",https://www.goodreads.com/book/show/6690798-the-passage,
EC7BDC63,The 5th Wave,The 5th Wave,Rick Yancey,English,4.03,400614,29991,"After the 1st wave, only darkness remains. After the 2nd, only the lucky escape. And after the 3rd, only the unlucky survive. After the 4th wave, only one rule applies: trust no one.Now, it's the dawn of the 5th wave, and on a lonely stretch of highway, Cassie runs from Them. The beings who only look human, who roam the countryside killing anyone they see. Who have scattered Earth's last survivors. To stay alone is to stay alive, Cassie believes, until she meets Evan Walker. Beguiling and mysterious, Evan Walker may be Cassie's only hope for rescuing her brother-or even saving herself. But Cassie must choose: between trust and despair, between defiance and surrender, between life and death. To give up or to get up.",2013,"{'Young Adult': 5436, 'Science Fiction': 3327, 'Science Fiction (Dystopia) ': 2972, 'Fiction': 1247, 'Science Fiction (Aliens) ': 1225, 'Fantasy': 1043, 'Apocalyptic (Post Apocalyptic) ': 876, 'Romance': 855, 'Audiobook': 381, 'Science Fiction (Apocalyptic) ': 365}",https://www.goodreads.com/book/show/16101128-the-5th-wave,
F342BF26,The Hunger Games,The Hunger Games,Suzanne Collins,English,4.33,6572148,174079,"Could you survive on your own in the wild, with every one out to make sure you don't live to see the morning?In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen, who lives alone with her mother and younger sister, regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.",2008,"{'Young Adult': 31089, 'Fiction': 17571, 'Science Fiction (Dystopia) ': 16301, 'Fantasy': 13736, 'Science Fiction': 10659, 'Romance': 3963, 'Adventure': 3472, 'Young Adult (Teen) ': 1884, 'Apocalyptic (Post Apocalyptic) ': 1645, 'Action': 1362}",https://www.goodreads.com/book/show/2767052-the-hunger-games,
23E70748,Oryx and Crake,Oryx and Crake,Margaret Atwood,English,4.01,227475,13764,"Oryx and Crake is at once an unforgettable love story and a compelling vision of the future. Snowman, known as Jimmy before mankind was overwhelmed by a plague, is struggling to survive in a world where he may be the last human, and mourning the loss of his best friend, Crake, and the beautiful and elusive Oryx whom they both loved. In search of answers, Snowman embarks on a journey–with the help of the green-eyed Children of Crake–through the lush wilderness that was so recently a great city, until powerful corporations took mankind on an uncontrolled genetic engineering ride. Margaret Atwood projects us into a near future that is both all too familiar and beyond our imagining.",2003,"{'Fiction': 4170, 'Science Fiction': 3366, 'Science Fiction (Dystopia) ': 2101, 'Apocalyptic (Post Apocalyptic) ': 886, 'Fantasy': 772, 'Cultural (Canada) ': 521, 'Speculative Fiction': 452, 'Science Fiction Fantasy': 374, 'Audiobook': 321, 'Novels': 307}",https://www.goodreads.com/book/show/46756.Oryx_and_Crake,
DA0EF6A5,Life As We Knew It,Life As We Knew It,Susan Beth Pfeffer,English,3.88,118339,9848,"Miranda’s disbelief turns to fear in a split second when a meteor knocks the moon closer to the earth. How should her family prepare for the future when worldwide tsunamis wipe out the coasts, earthquakes rock the continents, and volcanic ash blocks out the sun? As summer turns to Arctic winter, Miranda, her two brothers, and their mother retreat to the unexpected safe haven of their sunroom, where they subsist on stockpiled food and limited water in the warmth of a wood-burning stove.Told in journal entries, this is the heart-pounding story of Miranda’s struggle to hold on to the most important resource of all--hope--in an increasingly desperate and unfamiliar world.",2006,"{'Young Adult': 2584, 'Science Fiction (Dystopia) ': 1111, 'Science Fiction': 984, 'Fiction': 749, 'Apocalyptic (Post Apocalyptic) ': 548, 'Adventure (Survival) ': 323, 'Science Fiction (Apocalyptic) ': 288, 'Young Adult (Teen) ': 261, 'Fantasy': 216, 'Audiobook': 112}",https://www.goodreads.com/book/show/213753.Life_As_We_Knew_It,
EDD4E7C8,The Girl With All the Gifts,The Girl with All the Gifts,M.R. Carey,English,3.94,194787,20260,"Melanie is a very special girl. Dr. Caldwell calls her ""our little genius.""Every morning, Melanie waits in her cell to be collected for class. When they come for her, Sergeant Parks keeps his gun pointing at her while two of his people strap her into the wheelchair. She thinks they don't like her. She jokes that she won't bite, but they don't laugh.Melanie loves school. She loves learning about spelling and sums and the world outside the classroom and the children's cells. She tells her favorite teacher all the things she'll do when she grows up. Melanie doesn't know why this makes Miss Justineau look sad.The Girl with All the Gifts is a sensational thriller, perfect for fans of Stephen King, Justin Cronin, and Neil Gaiman.",2014,"{'Horror': 3709, 'Fiction': 2361, 'Science Fiction': 2132, 'Horror (Zombies) ': 1416, 'Science Fiction (Dystopia) ': 1240, 'Apocalyptic (Post Apocalyptic) ': 780, 'Fantasy': 687, 'Audiobook': 648, 'Thriller': 588, 'Adult': 339}",https://www.goodreads.com/book/show/17235026-the-girl-with-all-the-gifts,
